PLAYER_ID,SEASON_ID,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,OREB_PCT,DREB_PCT,TS_PCT,MIN,FGA_PM,FG_PCT,FG3A_PM,FG3_PCT,FTM_PM,BLK_PM,PF_PM
1630639,2022-23,22.0,78.0,179.0,0.046,0.152,0.589,217.0,0.4055299539170507,0.6626666666666666,0.2304147465437788,0.26666666666666666,0.018433179723502304,0.0,0.10138248847926268
1631260,2022-23,23.0,77.0,190.0,0.016,0.105,0.607,345.0,0.36231884057971014,0.424,0.30434782608695654,0.419,0.011594202898550725,0.0,0.08985507246376812
203932,2022-23,27.0,80.0,235.0,0.086,0.136,0.617,2055.0,0.37031630170316304,0.564,0.08418491484184915,0.347,0.09294403892944039,0.024817518248175182,0.06277372262773723
1628988,2022-23,26.0,72.0,185.0,0.028,0.059,0.528,845.0,0.2603550295857988,0.418,0.10414201183431952,0.409,0.03195266272189349,0.014201183431952662,0.09349112426035502
1630174,2022-23,23.0,77.0,215.0,0.033,0.119,0.566,1816.0,0.3248898678414097,0.427,0.17290748898678415,0.366,0.06552863436123348,0.018722466960352423,0.12940528634361234
1630598,2022-23,24.0,77.0,190.0,0.05,0.109,0.607,1297.0,0.27987663839629917,0.512,0.09406322282189669,0.393,0.04548959136468774,0.01156515034695451,0.08481110254433308
1629678,2022-23,26.0,77.0,241.0,0.047,0.092,0.587,451.0,0.270509977827051,0.451,0.164079822616408,0.324,0.04656319290465632,0.011086474501108648,0.1352549889135255
201143,2022-23,37.0,81.0,240.0,0.039,0.159,0.631,1921.0,0.2493492972410203,0.476,0.1691827173347215,0.446,0.007808433107756377,0.031754294638209266,0.06298802706923477
202692,2022-23,31.0,78.0,214.0,0.017,0.124,0.602,1122.0,0.4090909090909091,0.436,0.21301247771836007,0.414,0.13636363636363635,0.0071301247771836,0.0873440285204991
1630197,2022-23,21.0,84.0,210.0,0.058,0.16,0.522,701.0,0.35520684736091296,0.434,0.14835948644793154,0.365,0.03138373751783167,0.06134094151212553,0.08273894436519258
1627936,2022-23,29.0,77.0,186.0,0.028,0.099,0.588,1575.0,0.18158730158730158,0.455,0.09587301587301587,0.364,0.03746031746031746,0.029206349206349208,0.10095238095238095
203458,2022-23,30.0,86.0,250.0,0.143,0.194,0.58,161.0,0.18633540372670807,0.533,0.012422360248447204,0.0,0.06832298136645963,0.06832298136645963,0.17391304347826086
1630578,2022-23,20.0,83.0,243.0,0.107,0.204,0.599,2171.0,0.36803316444035006,0.553,0.0262551819438047,0.333,0.09488714877936434,0.032243205895900504,0.11883924458774758
1629599,2022-23,26.0,79.0,210.0,0.026,0.055,0.498,625.0,0.232,0.386,0.064,0.275,0.0784,0.008,0.08
203083,2022-23,29.0,83.0,279.0,0.16,0.353,0.606,849.0,0.32273262661955243,0.606,0.0035335689045936395,0.0,0.07891637220259129,0.03180212014134275,0.13780918727915195
1629614,2022-23,23.0,75.0,191.0,0.016,0.078,0.528,2074.0,0.3105110896817743,0.441,0.12680810028929604,0.35,0.023625843780135006,0.00626808100289296,0.0863066538090646
203952,2022-23,28.0,79.0,197.0,0.05,0.101,0.564,1190.0,0.4445378151260504,0.473,0.18907563025210083,0.396,0.03697478991596639,0.023529411764705882,0.08991596638655462
1629014,2022-23,24.0,75.0,181.0,0.008,0.067,0.581,2171.0,0.48134500230308613,0.447,0.2588668816213726,0.377,0.07369875633348687,0.006448641179180101,0.0654076462459696
203076,2022-23,30.0,82.0,253.0,0.102,0.248,0.627,1905.0,0.50498687664042,0.563,0.03884514435695538,0.257,0.1826771653543307,0.05984251968503937,0.07664041994750656
1630162,2022-23,21.0,76.0,225.0,0.017,0.139,0.564,2841.0,0.5424146427314326,0.459,0.20344948961633227,0.369,0.11228440689897923,0.020415346708905314,0.06546990496304118
1630264,2022-23,30.0,80.0,230.0,0.058,0.1,0.604,625.0,0.2112,0.538,0.0464,0.138,0.0784,0.0192,0.112
1630237,2022-23,25.0,78.0,227.0,0.047,0.129,0.61,1195.0,0.26276150627615064,0.471,0.16652719665271967,0.367,0.038493723849372385,0.016736401673640166,0.11213389121338913
1630559,2022-23,25.0,77.0,197.0,0.018,0.079,0.687,1843.0,0.2658708627238199,0.529,0.11720021703743896,0.398,0.12425393380358112,0.010309278350515464,0.05860010851871948
203085,2022-23,30.0,76.0,200.0,0.005,0.078,0.564,1016.0,0.20570866141732283,0.435,0.12106299212598425,0.35,0.02952755905511811,0.003937007874015748,0.07874015748031496
1630245,2022-23,23.0,77.0,200.0,0.022,0.081,0.567,2098.0,0.2716873212583413,0.493,0.09008579599618685,0.312,0.03145853193517636,0.012392755004766444,0.08674928503336511
1628389,2022-23,25.0,81.0,255.0,0.073,0.206,0.592,2598.0,0.4287913779830639,0.54,0.004618937644341801,0.083,0.12471131639722864,0.023479599692070825,0.0800615858352579
1627732,2022-23,26.0,82.0,240.0,0.04,0.186,0.559,1105.0,0.21266968325791855,0.566,0.0018099547511312218,0.0,0.02262443438914027,0.02171945701357466,0.1257918552036199
1631097,2022-23,21.0,77.0,210.0,0.037,0.103,0.566,2222.0,0.427992799279928,0.434,0.1395139513951395,0.323,0.1692169216921692,0.0058505850585058505,0.07290729072907291
202687,2022-23,30.0,80.0,255.0,0.093,0.184,0.555,874.0,0.23569794050343248,0.578,0.0,0.0,0.028604118993135013,0.10068649885583524,0.13043478260869565
201933,2022-23,34.0,81.0,250.0,0.079,0.195,0.59,569.0,0.22847100175746923,0.485,0.11599297012302284,0.348,0.03690685413005272,0.015817223198594025,0.13181019332161686
